game,game_id,title,n_levels,total_baseline_actions,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10
ar25,ar25-0c556536,AR25,8,748,32,50,75,37,89,159,233,73,,
bp35,bp35-0a0ad940,BP35,9,651,21,48,44,38,33,87,86,131,163,
cd82,cd82-fb555c5d,CD82,6,171,55,8,41,21,23,23,,,,
cn04,cn04-2fe56bfb,CN04,6,789,29,54,85,300,208,113,,,,
dc22,dc22-fdcac232,DC22,6,1228,59,102,67,98,324,578,,,,
ft09,ft09-0d8bbf25,FT09,6,208,43,12,23,28,65,37,,,,
g50t,g50t-5849a774,G50T,7,879,78,175,179,230,96,54,67,,,
ka59,ka59-38d34dbb,KA59,7,730,28,109,51,51,33,132,326,,,
lf52,lf52-271a04aa,LF52,10,1339,32,81,60,71,205,148,244,109,164,225
lp85,lp85-305b61c3,LP85,8,388,17,38,31,16,41,60,26,159,,
ls20,ls20-9607627b,LS20,7,776,22,123,73,84,96,192,186,,,
m0r0,m0r0-492f87ba,M0R0,6,1107,30,111,203,26,500,237,,,,
r11l,r11l-495a7899,R11L,6,233,22,33,51,26,52,49,,,,
re86,re86-8af5384d,RE86,8,1255,26,42,86,108,189,139,424,241,,
s5i5,s5i5-18d95033,S5I5,8,638,20,89,106,54,162,38,86,83,,
sb26,sb26-7fbdac44,SB26,8,213,18,28,18,19,31,23,58,18,,
sc25,sc25-635fd71a,SC25,6,350,36,6,32,83,143,50,,,,
sk48,sk48-d8078629,SK48,8,1070,61,177,101,103,230,181,125,92,,
sp80,sp80-589a99af,SP80,6,518,39,58,25,148,96,152,,,,
su15,su15-1944f8ab,SU15,9,361,22,42,26,115,36,31,8,40,41,
tn36,tn36-ef4dde99,TN36,7,317,32,72,26,40,30,55,62,,,
tr87,tr87-cd924810,TR87,6,414,54,58,40,45,71,146,,,,
tu93,tu93-0768757b,TU93,9,462,19,16,34,42,123,80,14,23,111,
vc33,vc33-5430563c,VC33,7,447,7,18,44,61,131,34,152,,,
wa30,wa30-ee6fef47,WA30,9,1843,71,119,183,98,368,68,79,442,415,
